promo_id,game_id,season,game_date,promo_name,promo_category,promo_type,primary_promo_flag,sponsor_attached_flag,giveaway_flag,fireworks_flag,theme_night_flag,family_flag,dog_day_flag,jersey_auction_flag,expected_fan_segment,source_id,public_data_flag,notes
PROMO_00208,TP_2025_040,2025,2025-07-01,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00209,TP_2025_041,2025,2025-07-02,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00210,TP_2025_042,2025,2025-07-03,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00211,TP_2025_042,2025,2025-07-03,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00212,TP_2025_043,2025,2025-07-18,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00213,TP_2025_045,2025,2025-07-20,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00214,TP_2025_046,2025,2025-07-29,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00215,TP_2025_047,2025,2025-07-30,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00216,TP_2025_048,2025,2025-07-31,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00217,TP_2025_049,2025,2025-08-01,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00218,TP_2025_051,2025,2025-08-03,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00219,TP_2025_052,2025,2025-08-12,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00220,TP_2025_053,2025,2025-08-13,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
