attendance_id,game_id,season,game_date,opponent,announced_attendance,attendance_source,attendance_match_status,actual_home_game_records,attendance_note,public_data_flag
ATT_TP_2025_041,TP_2025_041,2025,2025-07-02,Tennessee,3665,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_042,TP_2025_042,2025,2025-07-03,Tennessee,7157,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_043,TP_2025_043,2025,2025-07-18,Columbus,6491,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_044,TP_2025_044,2025,2025-07-19,Columbus,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2025_045,TP_2025_045,2025,2025-07-20,Columbus,3606,SRC_2025_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2025_046,TP_2025_046,2025,2025-07-29,Birmingham,3414,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_047,TP_2025_047,2025,2025-07-30,Birmingham,3214,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_048,TP_2025_048,2025,2025-07-31,Birmingham,3529,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_049,TP_2025_049,2025,2025-08-01,Birmingham,5812,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_050,TP_2025_050,2025,2025-08-02,Birmingham,5325,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_051,TP_2025_051,2025,2025-08-03,Birmingham,2952,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_052,TP_2025_052,2025,2025-08-12,Tennessee,3258,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_053,TP_2025_053,2025,2025-08-13,Tennessee,3274,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_054,TP_2025_054,2025,2025-08-14,Tennessee,3539,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_055,TP_2025_055,2025,2025-08-15,Tennessee,5013,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
