game_id,season,game_date,home_away,opponent,day_of_week,start_time,homestand_id,series_id,game_number_in_homestand,month,weekend_flag,holiday_flag,source_id,public_data_flag,notes
TP_2025_048,2025,2025-07-31,Home,Birmingham,Thursday,,2025_HS_08,2025_HS_08_BIRMINGHAM,3,7,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_049,2025,2025-08-01,Home,Birmingham,Friday,,2025_HS_08,2025_HS_08_BIRMINGHAM,4,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_050,2025,2025-08-02,Home,Birmingham,Saturday,,2025_HS_08,2025_HS_08_BIRMINGHAM,5,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_051,2025,2025-08-03,Home,Birmingham,Sunday,,2025_HS_08,2025_HS_08_BIRMINGHAM,6,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_052,2025,2025-08-12,Home,Tennessee,Tuesday,,2025_HS_09,2025_HS_09_TENNESSEE,1,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_053,2025,2025-08-13,Home,Tennessee,Wednesday,,2025_HS_09,2025_HS_09_TENNESSEE,2,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_054,2025,2025-08-14,Home,Tennessee,Thursday,,2025_HS_09,2025_HS_09_TENNESSEE,3,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_055,2025,2025-08-15,Home,Tennessee,Friday,,2025_HS_09,2025_HS_09_TENNESSEE,4,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_056,2025,2025-08-16,Home,Tennessee,Saturday,,2025_HS_09,2025_HS_09_TENNESSEE,5,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_057,2025,2025-08-17,Home,Tennessee,Sunday,,2025_HS_09,2025_HS_09_TENNESSEE,6,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
