game_date,season,promo_name,promo_category,promo_audience,sponsor,is_fireworks,is_giveaway,is_theme_night,is_weekly_promo,is_group_sales,is_community,is_appearance,is_jersey_auction,source_name
2023-08-27,2023,Kids Run The Bases,weekly_promo,Kids / families,,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-09-05,2023,Sonny DiChiara Bobblehead,giveaway,Adults 18+,,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-09-06,2023,Education Day,education,Schools / students,,0,0,0,0,1,1,0,0,MiLB 2023 Promotional Schedule
2023-09-07,2023,Football and Cheer Night,theme_night,Football / cheer groups and families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-09-08,2023,Huntsville Stars Throwback Night,theme_night,General / nostalgia fans,Trustmark,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-09-08,2023,Huntsville Stars Jersey Auction,jersey_auction,General / collectors,Trustmark,0,0,1,0,0,0,0,1,MiLB 2023 Promotional Schedule
2023-09-08,2023,Friday Night Fireworks,fireworks,General,Trustmark,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-09-09,2023,Saturday Night Fireworks,fireworks,General,Inline Electric,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-09-10,2023,Fan Appreciation Day,fan_appreciation,General,,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-09-10,2023,Kids Run The Bases,weekly_promo,Kids / families,,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
